@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {near,far}

@data
10.64418,7.740077,3.08138,4.079228,far
1.876402,6.483659,9.78451,6.152565,far
1.92672,1.188366,2.432787,0.218145,near
1.174418,4.352565,5.952565,2.432787,near
3.846283,0.974418,0.689835,1.593315,near
4.444348,2.993315,1.776402,0.974418,near
2.447627,8.78451,13.04418,7.532787,far
5.957366,7.048162,9.38451,6.448162,far
1.94422,3.72672,4.244348,2.632787,near
1.247956,1.274418,2.444348,1.244763,near
6.02672,3.146283,1.94422,3.147627,near
1.544348,6.348162,10.54418,1.844348,far
2.532787,4.352565,7.298351,4.057366,far
0.587923,0.974008,1.644348,0.444763,near
11.357366,7.648162,2.547627,6.652565,far
2.74422,6.898351,11.298351,3.88138,far
5.879555,2.547627,0.547956,1.293315,near
0.635257,2.447627,3.44422,1.644348,near
8.048162,5.957366,2.947627,5.146283,far
5.579555,3.846283,1.22672,3.847627,near
3.92672,3.846283,2.18145,0.689835,near
6.28145,9.783659,11.03315,8.098351,far
1.293315,2.22672,2.744348,1.52672,near
2.846283,1.22672,0.547956,1.932787,near
1.574008,3.447627,4.44422,1.82672,near
2.647627,7.598351,9.640077,4.479228,far
3.344348,0.774008,0.535257,0.689835,near
3.647627,4.54422,4.457366,1.94422,near
3.48138,3.746283,4.857366,1.193315,near
11.84418,8.879555,3.047627,7.348162,far
9.298351,7.098351,2.14422,3.747627,far
3.88138,1.732787,0.689835,1.732787,near
9.18451,4.28138,1.676402,2.746283,far
2.132787,3.88138,5.383659,1.676402,near
2.444348,5.779555,9.74418,3.746283,far
3.347627,4.457366,5.383659,1.732787,near
2.78145,3.444348,1.676402,0.714816,near
1.376402,5.679555,7.940077,3.08138,far
4.657366,8.240077,10.74418,3.979228,far
5.247627,3.757366,1.544348,0.868451,near
1.368451,3.457366,5.547627,2.28145,near
10.93315,8.040077,5.18145,6.279555,far
8.057366,12.740077,7.740077,9.440077,far
1.544348,9.698351,10.24418,5.632787,far
10.498351,6.783659,5.857366,2.04422,far
2.732787,3.457366,5.183659,2.276402,near
3.757366,1.544348,1.22672,2.18145,near
8.652565,3.979228,2.747627,4.952565,near
3.846283,8.679228,11.448162,6.248162,far
1.22672,4.883659,5.579555,2.746283,far
4.879228,2.447627,4.647627,3.24422,near
16.23315,13.43315,4.179228,8.898351,far
0.974418,4.352565,11.43315,6.079228,far
7.098351,3.84422,1.732787,3.28145,near
8.479555,11.18451,3.944348,5.357366,far
7.74422,10.848162,3.957366,3.632787,far
1.544348,5.183659,8.140077,2.68145,far
9.14422,8.040077,3.08138,3.18138,far
2.18145,5.783659,9.08451,5.452565,far
2.68145,0.868451,0.545737,1.568451,near
2.48145,1.093315,0.714816,1.22672,near
0.874008,1.92672,3.846283,1.42672,near
5.683659,2.746283,1.42672,1.193315,near
3.08138,7.448162,7.248162,3.08138,far
15.443485,8.640077,2.48145,4.157366,far
1.644348,5.479555,7.840077,3.457366,far
