@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {lock,right,left,start,trunk,back}

@data
0.924418,3.679228,5.148162,0.82672,left
0.824008,0.097442,0.495737,0.495737,start
0.974418,3.08138,9.73451,5.033659,lock
3.857366,5.598162,1.224418,1.14422,back
0.897956,0.154435,1.093315,0.488366,start
1.27672,0.13764,0.774008,0.218145,start
1.882787,2.847627,6.029555,3.157366,left
6.702565,4.18138,2.646283,4.88138,right
0.268145,1.676402,2.19422,0.774008,left
2.63145,4.207366,8.68451,4.357366,lock
3.397627,1.376402,0.647956,1.174418,right
3.457366,8.779555,7.13145,9.090077,lock
4.829228,3.476402,1.393315,3.432787,right
2.18764,3.447627,6.129555,3.694348,left
0.435257,2.238366,3.282787,1.776402,left
1.594348,0.23764,1.643315,0.488366,start
0.868451,0.345737,1.42672,0.109331,trunk
3.08138,9.729228,11.53315,5.629555,lock
3.679555,1.776402,0.614816,1.093315,right
2.597627,7.652565,9.690077,4.179228,lock
1.093315,2.594348,5.079228,2.63145,lock
1.694348,5.633659,4.883659,1.994348,lock
4.383659,3.179228,0.63138,2.382787,right
1.932787,2.38145,5.948162,3.18138,left
6.898162,6.979555,4.352565,4.929228,lock
0.345737,1.979228,5.352565,0.789835,left
1.174418,0.614816,1.324418,0.061482,trunk
0.614816,0.122672,0.647956,0.458138,start
1.018451,0.218145,0.647956,0.387923,start
0.689835,0.122672,0.924008,0.308138,start
3.907366,4.057366,1.093315,1.844348,lock
0.274628,0.824008,0.689835,0.244763,trunk
0.597956,0.122672,1.064816,0.488366,start
1.94422,2.082787,0.97672,1.426402,back
0.926402,4.63145,7.190077,2.826402,left
2.24422,3.696283,4.98138,1.193315,back
0.774008,0.154435,0.974008,0.537923,start
1.376402,3.946283,6.302565,1.732787,lock
4.13145,3.457366,10.93315,5.479555,lock
3.196283,3.14422,1.22672,1.376402,lock
0.437923,0.274628,0.774008,0.068984,trunk
1.37672,10.779228,9.74418,3.757366,lock
0.485257,3.029555,5.048162,1.782787,left
1.276402,3.896283,5.579555,0.976402,back
1.22672,4.73138,8.190077,3.457366,lock
0.739835,0.077401,0.888366,0.547956,start
0.974418,5.033659,10.03451,4.807366,lock
2.447627,4.352565,4.397627,0.868451,lock
2.482787,2.63145,1.874418,1.82672,lock
3.097627,2.082787,0.974418,1.694348,right
2.38145,2.696283,1.444348,1.732787,right
1.293315,0.021815,1.039835,0.435257,start
6.229555,6.079555,4.43145,6.533659,lock
4.847627,2.497627,2.02672,3.68138,right
1.67672,3.62672,6.533659,2.447627,lock
3.346283,2.746283,0.868451,1.376402,lock
2.276402,5.483659,6.898351,4.43138,lock
0.764816,0.274628,0.714816,0.019442,trunk
3.757366,3.346283,3.83138,4.207366,lock
2.146283,3.447627,6.798162,3.13138,left
0.689835,0.614816,1.064816,0.097442,trunk
1.093315,0.294763,0.868451,0.547956,start
3.03138,3.88138,2.947627,1.532787,back
2.28138,0.889835,0.048837,2.032787,right
1.98145,2.07672,3.13138,0.939835,back
2.04422,4.03145,3.076402,0.547956,back
1.22672,0.173279,1.174008,0.614816,start
1.33764,1.874418,4.079555,2.244348,left
6.902565,4.802565,2.182787,2.33145,lock
2.144348,4.329228,8.040077,3.607366,lock
5.552565,9.540077,6.898162,3.757366,lock
3.288366,5.197627,3.729555,2.547627,back
1.62672,1.193315,1.99422,0.122672,trunk
0.918451,0.274628,0.868451,0.345737,start
1.526402,3.83145,5.18138,2.143315,lock
0.774008,2.69422,4.657366,2.12672,lock
1.574418,5.43145,7.840077,2.33145,left
0.345737,1.738366,2.782787,1.426402,left
0.739835,3.097627,3.246283,1.074418,back
1.168451,0.597956,1.168451,0.136845,trunk
1.318451,4.732787,8.940077,5.479555,lock
4.233659,2.596283,0.764816,1.12672,right
3.23138,5.102565,8.83451,2.18145,lock
3.08138,6.148162,8.179555,3.757366,lock
2.03764,3.297627,6.279555,3.844348,left
0.345737,6.029228,6.733659,1.076402,left
0.597956,0.13764,0.868451,0.789835,start
3.779555,1.782787,1.043315,2.73145,right
2.747627,3.197627,1.67672,2.18145,lock
3.44422,1.882787,0.974418,1.94422,lock
1.497956,0.739835,1.143315,0.154435,trunk
3.879228,4.883659,3.23138,4.097627,lock
1.174008,0.608138,0.868451,0.054796,trunk
4.883659,3.879228,4.329228,4.883659,lock
0.974418,0.109331,0.868451,0.345737,start
0.924008,0.547956,1.093315,0.218145,trunk
1.093315,0.104796,0.889835,0.488366,start
2.757366,4.43138,4.807366,1.376402,back
0.918451,0.061482,1.97672,0.485257,start
0.614816,2.447627,3.607366,2.597627,lock
0.535257,3.079555,5.098162,1.832787,left
2.14422,2.047627,1.27672,0.974418,back
2.33145,7.202565,11.68315,6.598162,lock
1.193315,0.154435,2.244348,0.739835,start
4.802565,4.676402,2.597627,3.59422,lock
1.27672,3.426402,3.344348,0.614816,back
0.614816,0.345737,0.714816,0.154435,trunk
0.964816,0.204435,1.476402,0.547956,start
1.243315,0.345737,0.688366,0.097442,trunk
2.99422,2.447627,1.376402,2.332787,lock
0.689835,0.868451,0.868451,0.048837,trunk
1.19422,2.829228,6.202565,1.046283,left
6.333659,5.129228,2.493315,4.632787,right
1.093315,1.139835,1.47672,0.019442,trunk
3.579555,1.732787,0.674008,2.23145,right
1.343315,0.968451,0.789835,0.194422,trunk
0.714816,0.795737,0.714816,0.124476,trunk
2.732787,0.968451,1.376402,0.068984,trunk
3.98138,6.602565,4.502565,1.37672,lock
4.802565,4.883659,2.18145,4.883659,lock
0.308138,3.652565,6.198162,1.526402,left
1.776402,2.196283,1.34422,0.689835,back
1.296283,3.047627,5.948162,2.396283,left
0.714816,0.435257,0.664816,0.038792,trunk
1.918451,0.547956,1.174418,0.122672,trunk
4.933659,3.729228,1.48138,3.082787,right
4.329228,7.740077,5.229228,2.746283,lock
3.757366,3.879228,2.174418,2.33145,lock
3.952565,5.202565,2.343315,1.694348,back
1.594348,2.74422,5.933659,2.846283,left
1.376402,4.352565,6.08138,4.629228,lock
1.193315,0.308138,0.824008,0.435257,start
3.829555,1.926402,0.538366,1.093315,right
2.497627,4.811616,2.08145,0.485257,back
2.547627,2.49422,3.602565,0.388366,back
6.879228,2.447627,2.444348,0.868451,lock
1.885257,0.547956,1.093315,0.154435,trunk
5.079228,2.896283,1.694348,4.629228,lock
0.485257,0.387923,0.538366,0.136845,trunk
1.976402,5.183659,8.248162,4.13138,lock
1.074418,0.097442,0.924008,0.495737,start
0.308138,1.779228,4.852565,1.039835,left
2.02672,0.154435,1.694348,1.32672,start
0.547956,2.63138,4.448162,1.746283,left
1.376402,9.74418,4.802565,1.67672,lock
3.879228,8.029555,6.379555,3.879228,lock
4.883659,4.626402,2.693315,4.732787,right
4.479228,3.607366,1.826402,2.18145,lock
1.52672,3.757366,8.040077,1.093315,lock
0.868451,0.838366,0.764816,0.154796,trunk
0.889835,0.944763,1.239835,0.097442,trunk
4.357366,10.948162,3.68138,4.779228,lock
1.543315,0.109331,1.039835,0.345737,start
1.197956,0.588366,1.476402,0.194422,trunk
0.837923,0.938366,0.868451,0.097442,trunk
0.847956,0.173279,1.376402,0.997956,start
0.874008,0.373279,0.868451,0.274628,start
1.093315,0.547956,0.689835,0.109331,trunk
0.868451,0.173279,0.868451,0.547956,start
2.897627,1.826402,0.345737,1.276402,right
3.87672,5.433659,3.347627,1.732787,back
0.435257,0.535257,0.345737,0.324628,trunk
1.726402,0.974418,2.024418,0.194422,trunk
4.279228,2.579228,1.12672,1.647627,right
0.974418,2.447627,5.633659,1.694348,lock
4.096283,2.896283,2.576402,1.376402,lock
3.59422,7.648351,5.629555,6.298162,lock
0.547956,5.033659,6.452565,2.09422,lock
1.318451,0.435257,0.488366,0.308138,start
1.008138,0.535257,1.018451,0.373279,trunk
0.508138,3.629228,7.129228,2.746283,left
3.979555,2.376402,0.988366,0.943315,right
4.598162,2.78138,0.485257,1.68138,right
1.94422,4.207366,7.198351,4.883659,lock
3.68145,3.696283,3.007366,1.374418,back
1.52672,4.207366,6.898351,5.079228,lock
4.833659,3.629228,1.38138,2.982787,right
2.18145,1.68138,2.852565,0.824418,back
1.59422,4.052565,5.08138,0.974418,back
2.594763,2.796283,5.079228,3.39422,left
1.72672,4.58138,6.848162,2.19422,left
2.73145,1.444348,2.052565,0.485257,back
0.345737,3.952565,6.340077,1.376402,left
0.688366,0.437923,0.974008,0.077401,trunk
0.345737,2.618451,3.307366,0.739835,left
4.352565,4.397627,1.694348,1.732787,lock
3.046283,5.24422,1.124418,1.243315,lock
1.376402,3.457366,8.483659,5.03138,lock
0.689835,5.633659,5.252565,1.544348,lock
5.483659,3.879228,5.779555,3.646283,lock
0.739835,0.173279,0.547956,0.274628,start
2.594763,3.07672,6.433659,3.607366,left
1.426402,0.535257,0.614816,0.061482,trunk
5.052565,2.98138,2.676402,3.63138,right
1.274008,0.538366,1.293315,0.218145,trunk
2.33145,8.848162,6.898351,1.994348,lock
6.898351,11.407366,3.607366,3.38138,lock
3.047627,5.63145,3.53138,2.896283,lock
0.739835,0.244763,0.774008,0.435257,start
4.179228,5.183659,8.940077,5.333659,lock
1.124418,5.596283,9.990077,2.447627,lock
4.207366,3.457366,4.28138,4.352565,lock
1.17672,2.68138,4.783659,1.544348,left
1.024418,0.614816,0.924008,0.019442,trunk
0.689835,0.097442,1.143315,0.218145,start
4.952565,3.997627,2.888366,4.582787,right
2.73145,3.197627,3.879228,1.376402,back
3.14422,2.18145,1.439835,1.94422,lock
0.585257,1.526402,2.432787,1.074418,left
0.964816,0.488366,0.635257,0.043526,trunk
1.22672,0.387923,1.143315,0.387923,start
2.39422,8.098162,8.333659,7.198351,lock
4.729228,4.23138,2.664816,4.397627,right
0.574418,4.78145,7.340077,1.68145,left
6.152565,3.63138,1.574418,3.58138,right
1.574418,3.457366,6.152565,3.08138,lock
1.22672,2.746283,7.798162,3.346283,lock
2.747627,3.046283,7.429555,2.032787,lock
1.52672,1.94422,8.098162,2.746283,lock
1.22672,2.076402,3.797627,1.632787,left
2.247627,4.711616,1.94422,0.488366,back
4.352565,6.448162,2.78145,6.148162,lock
0.864816,3.857366,7.048351,1.897627,left
0.914816,3.38138,5.979228,2.18145,lock
1.143315,0.122672,0.888366,0.774008,start
1.174418,0.038792,1.27672,0.395737,start
5.379228,3.907366,8.248162,3.047627,lock
1.99422,2.747627,3.03145,0.294422,back
0.747956,0.122672,0.789835,0.495737,start
0.614816,0.015443,0.774008,0.308138,start
0.485257,0.18764,0.547956,0.244763,start
5.929555,3.08138,2.746283,5.33138,lock
